document_id,clean_text,sentiment
143,nowhere in the description doe this tell you that you are an s mode s mode for window 11 mean that you cannot use any apps except those that are verified in the microsoft app store you cannot even enter your reg edit because it is not a verified app in your microsoft app store so you got to spend a couple day trying to figure out how to get out of s mode so you can get into the pro mode i wasted a lot of time to figure it out that should be bolded in the descriptionread more,negative
144,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,positive
145,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,neutral
146,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,positive
147,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,negative
148,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,positive
149,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,negative
150,wow great price fast shipping perfect condition and excellent computerread more,negative
151,wow great price fast shipping perfect condition and excellent computerread more,positive
152,bought it for stock doe the jobread more,positive
153,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,positive
154,wow great price fast shipping perfect condition and excellent computerread more,neutral
155,wow great price fast shipping perfect condition and excellent computerread more,positive
156,wow great price fast shipping perfect condition and excellent computerread more,positive
157,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,neutral
158,wow great price fast shipping perfect condition and excellent computerread more,neutral
159,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,neutral
160,bought it for stock doe the jobread more,neutral
161,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,neutral
162,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,positive
163,wow great price fast shipping perfect condition and excellent computerread more,positive
164,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,positive
165,read more,neutral
166,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,positive
167,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,neutral
168,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,neutral
169,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,positive
170,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,negative
171,bought it for stock doe the jobread more,positive
172,this is damaged product you cant even use it rather it ha given me stress wasted my time and i still havent received back my moneyread more,negative
173,read more,positive
174,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,positive
175,wow great price fast shipping perfect condition and excellent computerread more,neutral
176,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,positive
177,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,positive
178,wow great price fast shipping perfect condition and excellent computerread more,positive
179,the delivery wa on time delivered when it saidthe laptop came in great condition no scratch nothing and bonus everything loaded well the battery life is also excellent great product a must buy btw i bought another lolread more,neutral
180,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,positive
181,read more,negative
182,the delivery wa on time delivered when it saidthe laptop came in great condition no scratch nothing and bonus everything loaded well the battery life is also excellent great product a must buy btw i bought another lolread more,positive
183,nowhere in the description doe this tell you that you are an s mode s mode for window 11 mean that you cannot use any apps except those that are verified in the microsoft app store you cannot even enter your reg edit because it is not a verified app in your microsoft app store so you got to spend a couple day trying to figure out how to get out of s mode so you can get into the pro mode i wasted a lot of time to figure it out that should be bolded in the descriptionread more,neutral
184,read more,positive
185,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,neutral
186,wow great price fast shipping perfect condition and excellent computerread more,positive
187,read more,neutral
188,wow great price fast shipping perfect condition and excellent computerread more,negative
189,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,neutral
190,bought it for stock doe the jobread more,positive
191,the delivery wa on time delivered when it saidthe laptop came in great condition no scratch nothing and bonus everything loaded well the battery life is also excellent great product a must buy btw i bought another lolread more,negative
192,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,positive
193,wow great price fast shipping perfect condition and excellent computerread more,positive
194,wow great price fast shipping perfect condition and excellent computerread more,positive
195,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,neutral
196,nowhere in the description doe this tell you that you are an s mode s mode for window 11 mean that you cannot use any apps except those that are verified in the microsoft app store you cannot even enter your reg edit because it is not a verified app in your microsoft app store so you got to spend a couple day trying to figure out how to get out of s mode so you can get into the pro mode i wasted a lot of time to figure it out that should be bolded in the descriptionread more,negative
197,wow great price fast shipping perfect condition and excellent computerread more,negative
198,nowhere in the description doe this tell you that you are an s mode s mode for window 11 mean that you cannot use any apps except those that are verified in the microsoft app store you cannot even enter your reg edit because it is not a verified app in your microsoft app store so you got to spend a couple day trying to figure out how to get out of s mode so you can get into the pro mode i wasted a lot of time to figure it out that should be bolded in the descriptionread more,negative
199,received the laptop today which is very fast i am a fan of hp laptop a is easy to set up and sturdy great product good buy only setback it not touchscreenread more,positive
200,received the laptop today which is very fast i am a fan of hp laptop a is easy to set up and sturdy great product good buy only setback it not touchscreenread more,positive
201,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,neutral
